N,Threads,Pi(s),Int(s),Total(s),PiSpd,IntSpd,TotSpd
10000,1,0.000196,0.000153,0.000349,1.00,1.00,1.00
10000,2,0.000409,0.000081,0.000490,0.48,1.89,0.71
10000,4,0.000432,0.000051,0.000484,0.45,3.00,0.72
10000,8,0.000505,0.000050,0.000555,0.39,3.06,0.63
10000,16,0.000700,0.000115,0.000815,0.28,1.33,0.43
100000,1,0.001888,0.001357,0.003245,1.00,1.00,1.00
100000,2,0.000828,0.000675,0.001503,2.28,2.01,2.16
100000,4,0.000657,0.000353,0.001010,2.87,3.84,3.21
100000,8,0.000564,0.000210,0.000773,3.35,6.46,4.20
100000,16,0.000812,0.000182,0.000994,2.33,7.46,3.26
1000000,1,0.018470,0.013403,0.031873,1.00,1.00,1.00
1000000,2,0.004654,0.006531,0.011185,3.97,2.05,2.85
1000000,4,0.002669,0.003390,0.006060,6.92,3.95,5.26
1000000,8,0.001660,0.001721,0.003381,11.13,7.79,9.43
1000000,16,0.001315,0.000916,0.002230,14.05,14.63,14.29
10000000,1,0.169013,0.120755,0.289768,1.00,1.00,1.00
10000000,2,0.042226,0.059934,0.102160,4.00,2.01,2.84
10000000,4,0.022323,0.032299,0.054622,7.57,3.74,5.30
10000000,8,0.011550,0.016879,0.028429,14.63,7.15,10.19
10000000,16,0.006392,0.008516,0.014908,26.44,14.18,19.44
100000000,1,1.650788,1.201135,2.851927,1.00,1.00,1.00
100000000,2,0.396274,0.591146,0.987421,4.17,2.03,2.89
100000000,4,0.210851,0.313391,0.524241,7.83,3.83,5.44
100000000,8,0.111038,0.168007,0.279045,14.87,7.15,10.22
100000000,16,0.056256,0.084381,0.140638,29.34,14.23,20.28
1000000000,1,16.398089,11.999862,28.397967,1.00,1.00,1.00
1000000000,2,3.874183,5.819240,9.693423,4.23,2.06,2.93
1000000000,4,2.094380,3.241745,5.336123,7.83,3.70,5.32
1000000000,8,1.106342,1.679756,2.786097,14.82,7.14,10.19
1000000000,16,0.554991,0.843680,1.398670,29.55,14.22,20.30
