N,Variant,Threads,Run,PiEst,PiErr,PiTime,IntEst,IntErr,IntTime,TotalTime
10000,seq,1,1,3.141592653590,2.007346e-03,0.000194,0.746824132812,2.007346e-03,0.000150,0.000344
10000,seq,1,2,3.141592653590,2.007346e-03,0.000193,0.746824132812,2.007346e-03,0.000150,0.000343
10000,seq,1,3,3.141592653590,6.792654e-03,0.000193,0.746824132812,6.792654e-03,0.000151,0.000344
10000,omp,2,1,3.141592653590,7.926536e-04,0.000450,0.746824132812,7.926536e-04,0.000082,0.000532
10000,omp,2,2,3.141592653590,7.926536e-04,0.000513,0.746824132812,7.926536e-04,0.000083,0.000596
10000,omp,2,3,3.141592653590,7.926536e-04,0.000441,0.746824132812,7.926536e-04,0.000081,0.000522
10000,omp,4,1,3.141592653590,5.192654e-03,0.000479,0.746824132812,5.192654e-03,0.000055,0.000534
10000,omp,4,2,3.141592653590,5.192654e-03,0.000452,0.746824132812,5.192654e-03,0.000053,0.000505
10000,omp,4,3,3.141592653590,5.192654e-03,0.000460,0.746824132812,5.192654e-03,0.000052,0.000512
10000,omp,8,1,3.141592653590,1.160735e-02,0.000611,0.746824132812,1.160735e-02,0.000052,0.000663
10000,omp,8,2,3.141592653590,1.160735e-02,0.000582,0.746824132812,1.160735e-02,0.000053,0.000635
10000,omp,8,3,3.141592653590,1.160735e-02,0.000543,0.746824132812,1.160735e-02,0.000047,0.000590
10000,omp,16,1,3.141592653590,6.007346e-03,0.000744,0.746824132812,6.007346e-03,0.000130,0.000874
10000,omp,16,2,3.141592653590,6.007346e-03,0.000794,0.746824132812,6.007346e-03,0.000076,0.000870
10000,omp,16,3,3.141592653590,6.007346e-03,0.000775,0.746824132812,6.007346e-03,0.000095,0.000870
100000,seq,1,1,3.141592653590,4.432654e-03,0.001907,0.746824132812,4.432654e-03,0.001388,0.003295
100000,seq,1,2,3.141592653590,4.432654e-03,0.001875,0.746824132812,4.432654e-03,0.001276,0.003151
100000,seq,1,3,3.141592653590,4.432654e-03,0.001918,0.746824132812,4.432654e-03,0.001389,0.003307
100000,omp,2,1,3.141592653590,3.512654e-03,0.000849,0.746824132812,3.512654e-03,0.000691,0.001540
100000,omp,2,2,3.141592653590,3.512654e-03,0.000844,0.746824132812,3.512654e-03,0.000687,0.001531
100000,omp,2,3,3.141592653590,3.512654e-03,0.000840,0.746824132812,3.512654e-03,0.000682,0.001522
100000,omp,4,1,3.141592653590,2.527346e-03,0.000698,0.746824132812,2.527346e-03,0.000359,0.001057
100000,omp,4,2,3.141592653590,2.527346e-03,0.000655,0.746824132812,2.527346e-03,0.000359,0.001014
100000,omp,4,3,3.141592653590,2.527346e-03,0.000634,0.746824132812,2.527346e-03,0.000352,0.000986
100000,omp,8,1,3.141592653590,2.327346e-03,0.000652,0.746824132812,2.327346e-03,0.000206,0.000858
100000,omp,8,2,3.141592653590,2.327346e-03,0.000643,0.746824132812,2.327346e-03,0.000194,0.000837
100000,omp,8,3,3.141592653590,2.327346e-03,0.000626,0.746824132812,2.327346e-03,0.000203,0.000829
100000,omp,16,1,3.141592653590,1.152654e-03,0.000973,0.746824132812,1.152654e-03,0.000199,0.001172
100000,omp,16,2,3.141592653590,1.152654e-03,0.000801,0.746824132812,1.152654e-03,0.000176,0.000977
100000,omp,16,3,3.141592653590,1.152654e-03,0.000897,0.746824132812,1.152654e-03,0.000199,0.001096
1000000,seq,1,1,3.141592653590,2.926536e-04,0.017222,0.746824132812,2.926536e-04,0.012234,0.029456
1000000,seq,1,2,3.141592653590,2.926536e-04,0.019058,0.746824132812,2.926536e-04,0.012379,0.031437
1000000,seq,1,3,3.141592653590,2.926536e-04,0.019018,0.746824132812,2.926536e-04,0.013003,0.032021
1000000,omp,2,1,3.141592653590,1.095346e-03,0.004833,0.746824132812,1.095346e-03,0.006751,0.011584
1000000,omp,2,2,3.141592653590,1.095346e-03,0.004822,0.746824132812,1.095346e-03,0.006739,0.011561
1000000,omp,2,3,3.141592653590,1.095346e-03,0.004810,0.746824132812,1.095346e-03,0.006764,0.011574
1000000,omp,4,1,3.141592653590,4.734641e-05,0.002725,0.746824132812,4.734641e-05,0.003393,0.006118
1000000,omp,4,2,3.141592653590,4.734641e-05,0.002752,0.746824132812,4.734641e-05,0.003389,0.006141
1000000,omp,4,3,3.141592653590,4.734641e-05,0.002809,0.746824132812,4.734641e-05,0.003377,0.006186
1000000,omp,8,1,3.141592653590,1.043346e-03,0.001611,0.746824132812,1.043346e-03,0.001721,0.003332
1000000,omp,8,2,3.141592653590,1.043346e-03,0.001629,0.746824132812,1.043346e-03,0.001738,0.003367
1000000,omp,8,3,3.141592653590,1.043346e-03,0.001675,0.746824132812,1.043346e-03,0.001715,0.003390
1000000,omp,16,1,3.141592653590,3.046536e-04,0.001500,0.746824132812,3.046536e-04,0.000965,0.002465
1000000,omp,16,2,3.141592653590,3.046536e-04,0.001374,0.746824132812,3.046536e-04,0.000954,0.002328
1000000,omp,16,3,3.141592653590,3.046536e-04,0.001341,0.746824132812,3.046536e-04,0.000927,0.002268
10000000,seq,1,1,3.141592653590,1.985359e-05,0.168447,0.746824132812,1.985359e-05,0.120343,0.288790
10000000,seq,1,2,3.141592653590,1.985359e-05,0.170855,0.746824132812,1.985359e-05,0.119872,0.290727
10000000,seq,1,3,3.141592653590,5.758536e-04,0.166174,0.746824132812,5.758536e-04,0.120099,0.286273
10000000,omp,2,1,3.141592653590,3.278536e-04,0.040129,0.746824132812,3.278536e-04,0.059129,0.099258
10000000,omp,2,2,3.141592653590,3.278536e-04,0.040561,0.746824132812,3.278536e-04,0.061065,0.101626
10000000,omp,2,3,3.141592653590,4.653464e-04,0.040106,0.746824132812,4.653464e-04,0.057733,0.097839
10000000,omp,4,1,3.141592653590,1.235746e-03,0.022632,0.746824132812,1.235746e-03,0.033520,0.056152
10000000,omp,4,2,3.141592653590,1.235746e-03,0.022544,0.746824132812,1.235746e-03,0.032116,0.054660
10000000,omp,4,3,3.141592653590,1.235746e-03,0.022666,0.746824132812,1.235746e-03,0.033491,0.056157
10000000,omp,8,1,3.141592653590,5.961464e-04,0.011650,0.746824132812,5.961464e-04,0.016966,0.028616
10000000,omp,8,2,3.141592653590,5.961464e-04,0.011631,0.746824132812,5.961464e-04,0.016833,0.028464
10000000,omp,8,3,3.141592653590,5.961464e-04,0.011608,0.746824132812,5.961464e-04,0.016866,0.028474
10000000,omp,16,1,3.141592653590,8.329464e-04,0.006419,0.746824132812,8.329464e-04,0.008509,0.014928
10000000,omp,16,2,3.141592653590,8.329464e-04,0.006392,0.746824132812,8.329464e-04,0.008499,0.014891
10000000,omp,16,3,3.141592653590,8.329464e-04,0.006457,0.746824132812,8.329464e-04,0.008502,0.014959
100000000,seq,1,1,3.141592653590,5.766641e-05,1.633154,0.746824132812,5.766641e-05,1.196078,2.829232
